date;qobs;p;epot;temp;ss;u;l;saturation;qs;ep;qif;pn;qof;ea;g;dl;qr1;qr2;bf;qsim
21-02-1971;20;1,4;0,525;3,4;0;5;100;1;0;0,525;0,21975;0,05025;0,015075;0;0,035175;0;0,56603802;0,56603802;0,88693682;17,74176454
22-02-1971;20;1,21;0,525;4,1;0;5;100;1;0;0,525;0,25;0,435;0,1305;0;0,3045;0;0,493034498;0,493034498;0,885712271;16,83539168
23-02-1971;19;0;0,525;3;0;4,225;100;1;0;0,525;0,25;0;0;0;0;0;0,397407874;0,397407874;0,883942617;15,64612
24-02-1971;18,25;1,72;0,525;4;0;5;100;1;0;0,525;0,21125;0,20875;0,062625;0;0,146125;0;0,348801476;0,348801476;0,882439261;15,03424742
25-02-1971;18,25;0,65;0,525;4,1;0;4,875;100;1;0;0,525;0,25;0;0;0;0;0;0,309926124;0,309926124;0,880676146;14,5380254
26-02-1971;17,5;0,3;0,525;-3,6;0,3;4,10625;100;1;0;0,525;0,24375;0;0;0;0;0;0,283887848;0,283887848;0,878916554;14,19859542
27-02-1971;16,6;0,58;0,525;-4,2;0,88;3,3759375;100;1;0;0,525;0,2053125;0;0;0;0;0;0,252970858;0,252970858;0,877160477;13,79963609
28-02-1971;15,5;0,69;0,525;-4;1,57;2,682140625;100;1;0;0,525;0,168796875;0;0;0;0;0;0,219850976;0,219850976;0,87540791;13,37382089
01-03-1971;15,5;0,45;0,787096774;-4,3;2,02;1,76093682;100;1;0;0,787096774;0,134107031;0;0;0;0;0;0,186113363;0,186113363;0,873658843;12,94050553
02-03-1971;15,15;1,12;0,787096774;-4,1;3,14;0,885793205;100;1;0;0,787096774;0,088046841;0;0;0;0;0;0,147527193;0,147527193;0,871913272;12,44802883
03-03-1971;14,85;3,55;0,787096774;-3,8;6,69;0,054406771;100;1;0;0,787096774;0,04428966;0;0;0;0;0;0,106906389;0,106906389;0,870171188;11,93075051
04-03-1971;14,65;0;0,787096774;-6,7;6,69;0;99,26731;1;0;0,054406771;0;0;0;0,732690003;0;0;0,064842003;0,064842003;0,868432585;11,39588761
05-03-1971;14,45;0;0,787096774;-6,6;6,69;0;98,4859802;0,9926731;0;0;0;0;0;0,781329795;0;0;0,039328663;0,039328663;0,866697455;11,06316614
06-03-1971;14,5;1,06;0,787096774;-4,4;7,75;0;97,71080023;0,984859802;0;0;0;0;0;0,775179973;0;0;0,02385404;0,02385404;0,864965793;10,85306624
07-03-1971;14,1;0;0,787096774;-1,7;7,75;0;96,94172167;0,977108002;0;0;0;0;0;0,769078556;0;0;0,014468206;0,014468206;0,86323759;10,71735666
08-03-1971;14,65;1,27;0,787096774;3,2;1,35;5;97,02366068;0,969417217;6,4;0,787096774;0;1,882903226;0,54327681;0;1,257687407;0,081939009;0,222538179;0,222538179;0,863774415;13,26458086
