date,p,t,epot,q
1979-02-09,1.83,-1.1,0.36,1.1227905213270144
1979-02-10,0.0,-6.1,0.36,1.112144075829384
1979-02-11,0.0,-8.1,0.36,1.1146009478672985
1979-02-12,0.0,-6.2,0.36,1.1317990521327017
1979-02-13,0.0,-5.0,0.36,1.0720151658767774
1979-02-14,0.2,-11.0,0.36,1.0646445497630332
1979-02-15,2.05,-9.1,0.36,1.0564549763033175
1979-02-16,4.2,-6.7,0.36,1.048265402843602
1979-02-17,6.45,-4.5,0.36,1.0400758293838863
1979-02-18,3.82,-3.6,0.36,1.0318862559241706
1979-02-19,0.0,-2.1,0.36,1.0236966824644549
1979-02-20,0.0,-2.7,0.36,1.0155071090047394
1979-02-21,0.0,-4.7,0.36,1.0073175355450237
1979-02-22,0.0,-4.4,0.36,0.999127962085308
1979-02-23,0.0,-4.1,0.36,0.9909383886255924
1979-02-24,0.0,-3.1,0.36,0.982748815165877
1979-02-25,0.0,-3.3,0.36,0.982748815165877
1979-02-26,0.21,-1.0,0.36,0.982748815165877
1979-02-27,3.31,0.5,0.36,1.4004170616113747
1979-02-28,1.25,0.8,0.36,1.4659336492890995
1979-03-01,0.0,-0.9,0.7899999999999999,1.4700284360189575
1979-03-02,8.19,-0.1,0.7899999999999999,1.5052436018957345
1979-03-03,4.81,2.0,0.7899999999999999,2.763981042654029
1979-03-04,3.95,2.1,0.7899999999999999,4.137372511848342
1979-03-05,0.0,2.1,0.7899999999999999,3.742635071090048
1979-03-06,0.0,2.7,0.7899999999999999,3.108762085308057
1979-03-07,0.48,1.5,0.7899999999999999,2.55514691943128
1979-03-08,3.17,2.4,0.7899999999999999,2.3692436018957346
1979-03-09,1.78,2.0,0.7899999999999999,2.374976303317536
1979-03-10,20.58,2.0,0.7899999999999999,3.1808303317535547
1979-03-11,2.31,1.2,0.7899999999999999,3.230786729857821
1979-03-12,6.77,1.6,0.7899999999999999,2.684542180094787
1979-03-13,4.51,1.9,0.7899999999999999,2.552690047393365
1979-03-14,0.0,0.9,0.7899999999999999,2.394631279620853
1979-03-15,0.0,-0.1,0.7899999999999999,2.0932549763033177
1979-03-16,2.3,-1.0,0.7899999999999999,1.912265402843602
1979-03-17,44.86,-4.4,0.7899999999999999,1.7705857819905215
1979-03-18,13.93,-5.7,0.7899999999999999,1.6248113744075832
1979-03-19,1.49,-5.4,0.7899999999999999,1.6395526066350712
1979-03-20,0.29,-2.9,0.7899999999999999,1.628906161137441
1979-03-21,0.4,-0.8,0.7899999999999999,1.626449289099526
1979-03-22,4.67,1.1,0.7899999999999999,1.7411033175355453
1979-03-23,6.8,1.3,0.7899999999999999,1.9630407582938387
1979-03-24,0.83,2.7,0.7899999999999999,2.2120037914691943
1979-03-25,0.0,2.7,0.7899999999999999,2.2275639810426537
1979-03-26,11.02,4.6,0.7899999999999999,2.582991469194313
1979-03-27,7.21,4.0,0.7899999999999999,2.9973838862559243
1979-03-28,6.25,5.5,0.7899999999999999,3.012944075829384
