precipitation_max,precipitation_min,precipitation_sum,discharge_max,discharge_min,discharge_mean,temperature_max,temperature_min,temperature_mean,potential_evapotranspiration_max,potential_evapotranspiration_min,potential_evapotranspiration_sum,date
27.76998512839576,0.0,799.3895719045116,,,,22.7,-6.9,8.238356164383562,122.6,9.5,620.8,1899-01-01
44.7899760137143,0.0,971.3394798205235,,,,21.0,-7.6,7.776164383561644,128.5,7.5,619.9,1900-01-01
20.279989139498237,0.0,794.249574657124,,,,24.2,-6.1,7.904383561643836,129.5,7.5,632.8,1901-01-01
20.399989075234913,0.0,749.589598573791,,,,18.3,-4.4,6.624383561643836,126.4,9.5,590.0,1902-01-01
24.579986836729123,0.0,983.159473490586,,,,19.6,-4.9,8.045205479452054,116.6,8.0,622.0,1903-01-01
30.059983902037327,0.0,858.4295402869561,,,,22.2,-4.6,7.952459016393442,110.9,9.5,608.7,1904-01-01
27.93998503735605,0.0,853.1495431145424,,,,20.8,-5.1,7.704657534246575,140.3,9.3,646.8,1905-01-01
31.889982922021634,0.0,904.6295155455764,,,,21.7,-5.4,7.9361643835616436,111.1,9.5,612.9,1906-01-01
39.029979098353856,0.0,874.2395318202632,,,,18.1,-6.0,7.151506849315069,94.6,9.5,565.4,1907-01-01
24.909986660004986,0.0,772.7795861549037,,,,21.0,-8.1,7.718852459016393,116.4,9.3,610.1,1908-01-01
47.12997476057947,0.0,978.9094757665788,,,,16.9,-6.3,6.882465753424658,98.2,9.4,556.4,1909-01-01
25.219986493991396,0.0,859.1395399067314,,,,22.5,-5.2,8.596712328767124,137.7,9.5,658.7,1910-01-01
26.119986012016465,0.0,861.7995384822278,,,,22.2,-2.6,8.776438356164384,110.2,9.5,641.8,1911-01-01
24.319986975966323,0.0,1028.1294494079054,,,,20.7,-10.6,7.632786885245902,124.4,7.5,612.0,1912-01-01
33.00998232223061,0.0,728.9696096163723,,,,18.9,-4.0,8.543013698630137,104.2,8.0,605.6,1913-01-01
41.71997765778434,0.0,916.989508926454,,,,23.0,-4.2,8.976164383561644,126.7,8.0,650.9,1914-01-01
33.72998193665067,0.0,1005.3894615858053,,,,19.6,-6.1,6.944931506849315,114.3,8.7,603.0,1915-01-01
28.70998462499972,0.0,1078.1294226315204,,,,20.2,-3.0,7.781693989071038,107.9,9.5,588.3,1916-01-01
43.35997677951892,0.0,1085.4894186900365,,,,21.1,-8.4,7.44958904109589,149.3,7.5,640.0,1917-01-01
20.05998925731433,0.0,950.9294907506438,,,,19.5,-6.0,8.003561643835617,105.3,7.5,601.3,1918-01-01
26.02998606021396,0.0,885.5395257688002,,,,18.6,-7.7,7.033698630136986,109.7,9.5,616.4,1919-01-01
31.459983152298545,0.0,915.6095096654823,,,,20.1,-3.1,8.422677595628414,113.2,9.5,644.7,1920-01-01
26.07998603343757,0.0,780.3395821063143,,,,20.9,-2.3,8.753698630136986,109.4,9.5,629.0,1921-01-01
23.269987538270414,0.0,848.6795455083512,18.299999999999986,6.849999999999995,9.166224489795912,19.8,-10.4,6.96027397260274,105.1,7.5,594.1,1922-01-01
35.74998085488471,0.0,1067.2194284741277,35.99999999999997,6.7999999999999945,13.266999999999992,21.5,-7.0,7.338356164383562,118.1,9.5,564.9,1923-01-01
29.219984351880594,0.0,978.4994759861452,31.54999999999998,7.899999999999994,14.151183673469378,19.2,-6.5,7.394808743169399,102.9,7.5,577.4,1924-01-01
46.01997535501523,0.0,1013.0094575050842,35.199999999999974,7.149999999999995,14.237890410958894,24.0,-7.5,8.272602739726027,128.1,9.5,648.9,1925-01-01
31.229983275469916,0.0,997.0994660253299,34.99999999999997,8.299999999999994,15.443150684931497,19.7,-5.9,8.195068493150684,118.1,8.2,633.6999999999999,1926-01-01
38.44997940895992,0.0,1077.529422952837,35.99999999999997,8.599999999999994,16.591178082191767,20.2,-7.0,7.667397260273972,117.4,9.5,596.6,1927-01-01
29.5699841644459,0.0,928.7995026018718,45.44599999999996,7.399999999999994,14.090486338797803,19.0,-4.1,7.730327868852459,98.8,9.3,570.6,1928-01-01
23.96998716340102,0.0,763.4995911246008,33.299999999999976,4.199999999999997,10.972821917808211,19.8,-11.0,7.007945205479452,101.8,7.5,571.9,1929-01-01
18.769989948145064,0.0,862.3495381876876,28.49999999999998,6.899999999999995,12.149082191780815,20.5,-2.8,8.664657534246576,129.8,9.5,640.2,1930-01-01
74.15996028526574,0.0,1037.9094441704444,38.85799999999997,8.549999999999994,14.05478904109588,20.7,-6.7,7.3931506849315065,111.6,9.5,591.9,1931-01-01
32.08998281491609,0.0,869.5395343372434,35.99999999999997,6.7999999999999945,12.748073770491793,22.3,-7.0,8.548907103825137,126.2,9.5,635.0,1932-01-01
28.599984683907767,0.0,718.2296153679397,26.699999999999978,7.199999999999995,10.681342465753417,21.5,-7.7,8.45068493150685,138.1,7.5,666.2,1933-01-01
27.42998531047518,0.0,874.8895314721702,29.49999999999998,4.989999999999997,10.351698630136978,20.1,-2.3,9.424383561643836,111.7,9.5,628.5,1934-01-01
35.15998117084605,0.0,1083.9894194933281,41.61999999999997,6.579999999999995,15.097191780821907,22.2,-3.6,8.367671232876711,121.0,9.5,624.5,1935-01-01
28.689984635710275,0.0,997.2894659235797,40.51799999999997,7.979999999999995,15.480950819672119,21.3,-4.1,8.251366120218579,131.8,9.5,640.5,1936-01-01
34.83998134221492,0.0,995.9894666197657,18.599999999999987,7.469999999999994,11.10254098360655,21.3,-5.7,8.40958904109589,116.6,7.5,653.9,1937-01-01
47.89997434822315,0.0,1073.7494249771316,36.39999999999998,5.849999999999996,12.773205479452045,22.3,-4.8,9.124383561643835,104.1,9.5,618.8,1938-01-01
28.619984673197216,0.0,819.5395611136285,61.64899999999996,7.149999999999995,13.32537808219177,21.5,-5.1,8.523013698630137,121.0,9.5,656.1,1939-01-01
47.55997453030257,0.0,957.0694874625037,58.21699999999996,6.659999999999996,12.844598130841113,19.6,-15.0,6.518032786885246,140.1,7.5,626.3,1940-01-01
29.819984030563973,0.0,856.9095411009582,64.89999999999995,7.2999999999999945,11.664333333333325,25.9,-13.2,6.704931506849316,135.7,7.5,619.5,1941-01-01
29.519984191222285,0.0,1012.509457772848,47.18699999999997,6.999999999999995,12.652083333333325,21.8,-17.9,6.527123287671233,101.2,7.5,579.6,1942-01-01
25.639986269069762,0.0,872.3795328163447,34.89999999999998,6.899999999999995,12.564657534246566,21.4,-5.9,8.811506849315068,114.8,7.5,640.2,1943-01-01
27.149985460422936,0.0,1005.5994614733445,41.61999999999997,7.249999999999995,14.026161202185781,22.4,-1.1,8.405737704918034,114.7,9.5,612.3,1944-01-01
